,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
66,Mark Andrews\mark-andrews-1,Oklahoma,Big 12,3,13,233,17.9,1,0,0,,0,13,233,17.9,1
67,JD Spielman\jd-spielman-1,Nebraska,Big Ten,3,7,125,17.9,0,2,1,0.5,0,9,126,14.0,0
68,Cody Thompson\cody-thompson-1,Toledo,MAC,3,22,391,17.8,4,0,0,,0,22,391,17.8,4
69,CeeDee Lamb\ceedee-lamb-1,Oklahoma,Big 12,3,12,213,17.8,3,0,0,,0,12,213,17.8,3
70,Kalija Lipscomb\kalija-lipscomb-1,Vanderbilt,SEC,3,6,106,17.7,3,1,5,5.0,0,7,111,15.9,3
71,Anthony Johnson\anthony-johnson-13,Buffalo,MAC,3,16,282,17.6,2,2,3,1.5,0,18,285,15.8,2
72,John Humphrey\john-humphrey-1,Arizona State,Pac-12,1,7,123,17.6,1,0,0,,0,7,123,17.6,1
73,James Gardner\james-gardner-1,Miami (OH),MAC,2,13,228,17.5,2,0,0,,0,13,228,17.5,2
74,JaQuan Blackwell\jaquan-blackwell-1,San Jose State,MWC,3,10,175,17.5,1,0,0,,0,10,175,17.5,1
75,Taivon Jacobs\taivon-jacobs-1,Maryland,Big Ten,2,8,140,17.5,1,0,0,,0,8,140,17.5,1
76,Dante Pettis\dante-pettis-1,Washington,Pac-12,3,12,209,17.4,3,0,0,,0,12,209,17.4,3
77,Cedric Wilson\cedric-wilson-3,Boise State,MWC,3,16,276,17.3,2,0,0,,0,16,276,17.3,2
78,Vic Wharton\vic-wharton-1,California,Pac-12,3,15,259,17.3,2,0,0,,0,15,259,17.3,2
79,Jonathan Duhart\jonathan-duhart-1,Old Dominion,CUSA,2,7,121,17.3,2,0,0,,0,7,121,17.3,2
80,Jaylen Smith\jaylen-smith-1,Louisville,ACC,3,22,379,17.2,2,0,0,,0,22,379,17.2,2
81,Johnny Johnson III\johnny-johnson-iii-1,Oregon,Pac-12,3,10,172,17.2,0,0,0,,0,10,172,17.2,0
82,Arkeel Newsome\arkeel-newsome-1,Connecticut,American,2,5,85,17.0,0,14,17,1.2,0,19,102,5.4,0
83,Brady Jones\brady-jones-2,UTSA,CUSA,2,4,68,17.0,0,0,0,,0,4,68,17.0,0
84,Todd Boyd\todd-boyd-1,Georgia State,Sun Belt,2,4,68,17.0,0,0,0,,0,4,68,17.0,0
85,Keke Coutee\keke-coutee-1,Texas Tech,Big 12,2,17,285,16.8,3,0,0,,0,17,285,16.8,3
86,Courtland Sutton\courtland-sutton-1,SMU,American,3,11,185,16.8,5,0,0,,0,11,185,16.8,5
87,Will Hastings\will-hastings-1,Auburn,SEC,3,9,151,16.8,1,0,0,,0,9,151,16.8,1
88,Deebo Samuel\deebo-samuel-1,South Carolina,SEC,3,15,250,16.7,3,2,30,15.0,1,17,280,16.5,4
89,Andrew Meyer\andrew-meyer-1,Ohio,MAC,2,7,117,16.7,1,0,0,,0,7,117,16.7,1
90,Carl Tucker\carl-tucker-1,North Carolina,ACC,3,6,100,16.7,0,0,0,,0,6,100,16.7,0
91,Jonathan Nance\jonathan-nance-1,Arkansas,SEC,2,6,100,16.7,1,1,12,12.0,0,7,112,16.0,1
92,Stanley Morgan Jr.\stanley-morgan-jr-1,Nebraska,Big Ten,3,18,299,16.6,3,1,2,2.0,0,19,301,15.8,3
93,Hergy Mayala\hergy-mayala-1,Connecticut,American,2,11,183,16.6,3,0,0,,0,11,183,16.6,3
94,Tyrie Cleveland\tyrie-cleveland-1,Florida,SEC,2,9,149,16.6,1,1,4,4.0,0,10,153,15.3,1
95,Brendan Cope\brendan-cope-1,Ohio,MAC,3,8,133,16.6,0,0,0,,0,8,133,16.6,0
96,Donavan Hale\donavan-hale-1,Indiana,Big Ten,2,7,116,16.6,1,0,0,,0,7,116,16.6,1
97,Devin Ross\devin-ross-2,Colorado,Pac-12,3,14,231,16.5,1,0,0,,0,14,231,16.5,1
98,Aaron Young\aaron-young-3,Duke,ACC,2,8,132,16.5,1,0,0,,0,8,132,16.5,1
99,D.J. Moore\dj-moore-3,Maryland,Big Ten,2,14,230,16.4,3,1,21,21.0,1,15,251,16.7,4
100,Dylan Cantrell\dylan-cantrell-1,Texas Tech,Big 12,2,12,195,16.3,2,1,3,3.0,1,13,198,15.2,3
101,Marchie Murdock\marchie-murdock-1,Iowa State,Big 12,3,8,130,16.3,2,0,0,,0,8,130,16.3,2
102,Charles Nelson\charles-nelson-2,Oregon,Pac-12,3,15,243,16.2,1,6,19,3.2,1,21,262,12.5,2
103,Julian Williams\julian-williams-2,Florida International,CUSA,2,11,178,16.2,0,0,0,,0,11,178,16.2,0
